year,genre,name,num
2009,M,ALEJANDRO DAVID,4
2008,M,ALEJANDRO DAVID,6
2007,M,ALEJANDRO DAVID,10
2006,M,ALEJANDRO DAVID,9
2005,M,ALEJANDRO DAVID,4
2004,M,ALEJANDRO DAVID,4
2003,M,ALEJANDRO DAVID,7
2002,M,ALEJANDRO DAVID,7
2001,M,ALEJANDRO DAVID,4
2000,M,ALEJANDRO DAVID,1
2022,M,ALEJO,13
2021,M,ALEJO,11
2020,M,ALEJO,10
2019,M,ALEJO,13
2018,M,ALEJO,16
2017,M,ALEJO,11
2016,M,ALEJO,10
2015,M,ALEJO,13
2014,M,ALEJO,20
2013,M,ALEJO,16
2012,M,ALEJO,14
2011,M,ALEJO,20
2010,M,ALEJO,22
2009,M,ALEJO,13
2008,M,ALEJO,15
2007,M,ALEJO,13
2006,M,ALEJO,16
2005,M,ALEJO,8
2004,M,ALEJO,12
2003,M,ALEJO,4
2002,M,ALEJO,4
2001,M,ALEJO,3
2000,M,ALEJO,3
2022,M,ALEN,3
2021,M,ALEN,4
2020,M,ALEN,3
2019,M,ALEN,4
2018,M,ALEN,3
2017,M,ALEN,2
2016,M,ALEN,3
2015,M,ALEN,3
2014,M,ALEN,1
2013,M,ALEN,4
2012,M,ALEN,2
2011,M,ALEN,2
2010,M,ALEN,1
2009,M,ALEN,0
2008,M,ALEN,1
2007,M,ALEN,1
2006,M,ALEN,0
2005,M,ALEN,0
2004,M,ALEN,0
2003,M,ALEN,0
2002,M,ALEN,0
2001,M,ALEN,1
2000,M,ALEN,0
2022,M,ALESSANDRO,24
2021,M,ALESSANDRO,19
2020,M,ALESSANDRO,13
2019,M,ALESSANDRO,21
2018,M,ALESSANDRO,15
2017,M,ALESSANDRO,14
2016,M,ALESSANDRO,11
2015,M,ALESSANDRO,17
2014,M,ALESSANDRO,21
2013,M,ALESSANDRO,20
2012,M,ALESSANDRO,19
2011,M,ALESSANDRO,13
2010,M,ALESSANDRO,12
2009,M,ALESSANDRO,7
2008,M,ALESSANDRO,11
2007,M,ALESSANDRO,8
2006,M,ALESSANDRO,16
2005,M,ALESSANDRO,8
2004,M,ALESSANDRO,8
2003,M,ALESSANDRO,7
2002,M,ALESSANDRO,3
2001,M,ALESSANDRO,6
2000,M,ALESSANDRO,4
2022,M,ALESSIO,4
2021,M,ALESSIO,2
2020,M,ALESSIO,3
2019,M,ALESSIO,2
2018,M,ALESSIO,5
2017,M,ALESSIO,2
2016,M,ALESSIO,1
2015,M,ALESSIO,2
2014,M,ALESSIO,5
2013,M,ALESSIO,3
2012,M,ALESSIO,1
2011,M,ALESSIO,1
2010,M,ALESSIO,2
2009,M,ALESSIO,3
2008,M,ALESSIO,2
2007,M,ALESSIO,3
2006,M,ALESSIO,0
2005,M,ALESSIO,0
2004,M,ALESSIO,1
2003,M,ALESSIO,0
2002,M,ALESSIO,1
2001,M,ALESSIO,1
2000,M,ALESSIO,1
2022,M,ALEX,161
2021,M,ALEX,193
2020,M,ALEX,178
2019,M,ALEX,166
2018,M,ALEX,158
2017,M,ALEX,179
