Year,Name,Frecuency
2022,YASMINE,4
2022,YOUSRA,4
2022,YULIA,4
2022,ZARA,4
2022,ZAYNAB,4
2022,ADARAY,3
2022,ADELAIDA,3
2022,AGATA,3
2022,AINHOA SOFIA,3
2022,AITANA ISABELLA,3
2022,AITANA MARIA,3
2022,AITANA VALENTINA,3
2022,ALAI,3
2022,ALANNA,3
2022,ALAYA,3
2022,ALAZNE,3
2022,ALEJANDRA MARIA,3
2022,ALICIA MARIA,3
2022,ANAHI,3
2022,ANAYA,3
2022,ANISA,3
2022,ANYA,3
2022,ARAN,3
2022,ARIANE,3
2022,ARIJ,3
2022,ARIZONA,3
2022,AUREA,3
2022,AURI,3
2022,AYLEN,3
2022,AYNARA,3
2022,AYSHA,3
2022,BARAA,3
2022,BLANCA MARIA,3
2022,BRYANNA,3
