Year,District,Neighborhood,Gender,Number
2019,Villaverde,Los Rosales,female,136
2019,Villaverde,Ángeles,female,121
2019,Villa de Vallecas,Villa de Vallecas,female,655
2019,Villa de Vallecas,Casco Histórico de Vallecas,female,160
2019,Villa de Vallecas,Santa Eugenia,female,68
2019,Villa de Vallecas,Ensanche de Vallecas,female,427
2019,Vicálvaro,Vicálvaro,female,269
2019,Vicálvaro,Casco Histórico de Vicálvaro,female,145
2019,Vicálvaro,Valdebernardo,female,40
2019,Vicálvaro,Valderrivas,female,58
2019,Vicálvaro,El Cañaveral,female,26
2019,San Blas-Canillejas,San Blas-Canillejas,female,552
2019,San Blas-Canillejas,Simancas,female,112
2019,San Blas-Canillejas,Hellín,female,34
2019,San Blas-Canillejas,Amposta,female,37
2019,San Blas-Canillejas,Arcos,female,95
2019,San Blas-Canillejas,Rosas,female,67
2019,San Blas-Canillejas,Rejas,female,79
2019,San Blas-Canillejas,Canillejas,female,97
2019,San Blas-Canillejas,El Salvador,female,31
2019,Barajas,Barajas,female,191
2019,Barajas,Alameda de Osuna,female,57
2019,Barajas,Aeropuerto,female,1
2019,Barajas,Casco Histórico de Barajas,female,34
2019,Barajas,Timón,female,75
2019,Barajas,Corralejos,female,24
