name,host_name,host_location,neighbourhood_cleansed,property_type,room_type,accommodates,rooms_text,beds,price
Rental unit in Fornells,Anna,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,1,3,142
Rental unit in Ciutadella de Menorca,Silvia,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,2,46
Home in Sant Lluis,Carlo,No info,Sant Lluis,Entire home,Entire home/apt,6,3,4,180
Place to stay in Serra Morena,Lola,No info,Mahon,Entire place,Entire home/apt,7,2,5,209
Townhouse in Cap d'Artrutx,Silvia,No info,Ciutadella de Menorca,Entire townhouse,Entire home/apt,4,1,3,150
Villa in Sant Lluis,Suzanne,No info,Sant Lluis,Entire villa,Entire home/apt,8,3,5,400
Villa in Binibequer,Javier,No info,Sant Lluis,Entire villa,Entire home/apt,12,4,6,362
Villa in Binibequer,Javier,No info,Sant Lluis,Entire villa,Entire home/apt,6,2,4,244
Farm stay in Ciutadella de Menorca,Josep,No info,Ciutadella de Menorca,Farm stay,Entire home/apt,14,5,10,300
Home in Ciutadella de Menorca,Rosi,No info,Ciutadella de Menorca,Entire home,Entire home/apt,4,1,3,95
Camper/RV in Menorca,Ian,No info,Es Migjorn Gran,Camper/RV,Entire home/apt,2,0,1,80
Rental unit in San Jaime Mediterraneo,Pedro,No info,Alaior,Entire rental unit,Entire home/apt,4,2,3,165
Condo in Ciutadella de Menorca,Jorge,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,5,1,5,300
Rental unit in Cap d'Artrutx,Marta,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,100
Villa in Es Canutells,Frederique,No info,Mahon,Entire villa,Entire home/apt,6,2,5,180
